828833, Martin, Gibson,28727.65
762505,Earl,Walker,32486.8
476931,Felix,Carter,40812.04
185889, Jerry,Thomas,24720.09
669886, Lewis,Morris,18813.67
151426,Everett,Evans,18445.49
669430, Nigel, Rice,26489.09
106966, Nelson, Wheeler,39660.63
959182,Gabriel, Lucas,19230.85
403740, Lance, Holmes,48682.37
627217, Jasper, Dawson,40548.22
601122,Brian, Lucas,41762.75
831474, Jerome, Merritt,17457.25
301579,Dexter, Holmes,6906.54
977546,Felix,Edwards,1749.0
771908, Laurence, Rose,30757.94
694821,Curtis, Ray,33837.19
206779, Nigel,Davis,41080.39
794857,Humphrey,Perry,10708.39
415000,Gareth,Wright,17865.19
673720,Franklin,Nelson,23166.57
246589, Laurence, Morales,35246.91
489970,Gareth,Baker,41498.15
420146,Elias, Gordon,29857.75
722915,Eric, Wagner,34453.78
231608,Anthony, Burns,19107.48
340168, Kevin,Torres,38278.32
499197, Neil,Mitchell,34123.96
560093,Felix,Carter,19806.06
582161, Ollie, Beck,47132.61
268629, Mark, Snyder,17413.77
497111,Harrison, Daniels,26196.95
183764,Herbert, Delacruz,23088.72
526401,Frank, Stone,22201.23
668399,Charles, Beck,37874.47
259025, Joseph,Ramirez,43347.41
885664,Dominic,Wallace,26514.16
515706, Morton, Watkins,2289.06
804605,Evan,Wallace,47886.09
423983, Leonard,Morgan,35265.11
319481,Hubert,Fisher,38640.1
420765,Charles,Patterson,12565.16
949983, Martin, Payne,43776.05
863714, Maurice, Knight,35598.85
115601, Lucas, Dawson,20391.02
620259,Elliot,Brown,39405.28
599925, Joseph, Henry,37751.06
646598, Joshua,Perez,36181.54
335140, Jeremy,Barnes,16664.15
971854,Hugo,Kelly,7294.45
411454, Louis, Nguyen,24946.08
559396,Devin,Brooks,19135.9
538675,Ivor, Carroll,39841.2
329972, Lucas,Miller,34365.85
651305,Dustin,Woods,16500.03
207149,Evan, Crawford,737.97
371352, Reuben,Hernandez,38099.08
922160,Dustin, Hanson,27411.41
948626,Craig, Merritt,14642.77
506936,Anthony, Ramos,34910.04
473083,Graham,Lopez,25797.83
765389, Matthew, Henry,12599.74
271114,Clyde, Mason,47818.3
808289,Brandon,Brooks,13520.87
740715, Mario, Dunn,5421.18
167575,Craig,Edwards,3849.89
378754, Otis,Martinez,8723.03
836520,Ivor, Hunt,35290.37
611951, Joseph, Webb,20554.79
858248, Mitchell, Kennedy,36834.98
973800, Lawrence,Jordan,45803.91
793834,Colin,Taylor,45027.7
808164,Dean,Anderson,47209.74
702676,George, Mills,42927.48
877944,Gilbert, Tucker,49239.49
289159,Eugene,Morris,20175.63
337321,Clifford, Berry,6433.42
555898, Nicholas,Rodriguez,4048.27
435255,Darius,Cook,45718.34
861848,Craig,Taylor,2190.82
598173,Albert,Ward,14597.27
301391, Miles, Ferguson,16344.8
297601, Marvin,Hall,22432.65
135700, Nelson,Smith,36158.71
974258, Neil,Moore,29010.56
727184,Glenn,Anderson,47898.62
579052,Gregory,Foster,39620.56
117223, Marcus,Owens,43223.46
941570,Elton,Hall,45581.81
361356,Frank,Smith,3250.8
910988, Miles, Romero,12719.84
512150, Malcolm, Fox,6907.46
518663,Barry,Cox,12134.09
577397, Reuben, Kennedy,5434.05
537213, Paul, Perkins,49736.09
831770, Kevin,Young,6201.52
205680, Jesse, Mason,35677.58
239529,Alexander,Stewart,24413.09
979720, Lester, Carroll,16782.3
156576, Kim, Duncan,25426.09
465240,Gordon,Williams,34452.93
479977,Frank,Fisher,19360.44
398565,Corey, Snyder,24912.69
488386, Joel, Simpson,13295.48
190488, Nigel,Palmer,15880.78
130109,Elias,Nelson,21032.55
253383,Herman,Harrison,34352.2
942861, Louis,Gonzalez,1361.08
201700,Franklin, Ortiz,49687.81
588137, Maurice, Duncan,9661.58
801150, Marvin,Butler,8014.01
381527, Jeffrey, Freeman,25066.39
397883,Howard, McDonald,1427.02
306041, Mike, Dunn,43241.11
629086,Gabriel, Harmon,14801.0
435651,Ernest,Young,19015.7
105919,Elton, Duncan,45369.42
420973,Evan, Arnold,10859.41
706981, Malcolm,Roberts,34603.07
924156,Clarence, Freeman,31739.92
602156, Nathaniel, Simpson,37316.91
473129,Darius,Sanchez,25821.76
799778, Kim,Foster,1130.8
965203, Jeremy, Fox,24237.22
498797,Harrison,Carter,47270.6
268932,Herbert,Wallace,33703.7
757850, Jasper, Hanson,35766.85
577022, Patrick,Harris,30872.76
133138,Corey, Payne,29086.38
743954, Kyle, Stone,41190.06
430701, Manuel, Knight,25470.14
834966,Christopher,Foster,20840.93
872805,Gary, Liu,39258.99
468440, Leroy,Owens,22580.0
929854,Everett, Cruz,30433.73
388564, Lee,Torres,3325.21
335619,Clifford,Ross,9798.4
704788, Joshua,Phillips,32175.93
747512, Peter,Bailey,22675.96
779536,Bernard,Sanchez,19734.83
614992, Milton, Marks,30796.86
322351, Nigel, Davidson,42425.11
938996, Noah,Sanders,5035.33
763806,Harold, Liu,11954.08
972427,Glenn,Sanders,6732.47
314920, Ralph,Carter,39644.95
774239,Dexter,Mitchell,41143.16
686671, Norman,Lopez,46409.29
621480,Earl, Banks,16814.51
981030, Leonard,Palmer,41439.02
235873, Larry, Payne,40864.17
924297, Lee,Price,9940.07
413123, Manuel,Rogers,33748.61
536770,Evan, Grant,2498.27
905953, Mike,Anderson,42423.35
332875,Corey,Edwards,24955.64
970713,Christian, Gordon,37183.92
922519, Justin,Taylor,48382.48
725709, Owen, Wheeler,11978.94
595432,Everett, Ramos,8163.59
470747, Lawrence,Holmes,47802.35
580143,Hubert,Anderson,20090.02
453790,Darrel,Palmer,43754.4
239334,Clayton,Rogers,19277.71
388740,Elliot, Crawford,5519.23
601938, Johnny, Holmes,25749.06
550784, Miles, Gibson,39008.7
185050,Elliot,Bennett,13543.02
782449,Alexander,Turner,20587.28
685206, Morris,Carter,29601.48
318455,Jackson, Nichols,20102.31
310475,Evan,Palmer,24660.41
116055, Lewis,Collins,39530.49
327334, Reuben, O'Brien,12601.14
587590, Joshua, Holmes,46707.79
537578, Leroy, Robertson,12749.7
510424,Bernard, Harvey,38781.68
299545, Jeff,West,13410.9
896082,Gary,Rodriguez,44816.94
161074, Kenneth, Merritt,15359.52
360727,Jack, Arnold,37657.37
131896, Otis,Morris,3358.39
497388, Nicholas,Bennett,35612.83
752457,Alexander,Reed,38213.44
